System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
airstreamq1,X5-2L,1523NM5022,hzl-b1_01 cf006 (HZL-Q1-A3),Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/12,EXTHYPER,10Gb
airstreamq1,X5-2L,1523NM5022,hzl-b1_01 cf006 (HZL-Q1-A3),Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/12,EXTHYPER,10Gb
airstreamq2,X5-2L,1523NM5021,HZL-Q1-A1,Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/13,EXTHYPER,10Gb
airstreamq2,X5-2L,1523NM5021,HZL-Q1-A1,Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/13,EXTHYPER,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 12 port 2,HZL-COLO-NONPTDNAGG4-SWA1,HZL-Q1-D1,E1/18,TKR,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 10 port 2,HZL-COLO-NONPTDNAGG4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/18,TKR,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 12 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/29,PROD,10Gb
atlasq1,X4-8,1523NM8001,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 10 port 1,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/29,PROD,10Gb
aztecserverq1,X3-2L,,HZL-Q1-D2,Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/08,PRODHYPER,10Gb
aztecserverq1,X3-2L,,HZL-Q1-D2,Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/08,PRODHYPER,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/23,GTDL,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.1 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/24,LOG,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/29,TPFUN,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/23,GTDL,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 5 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/24,LOG,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM3.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/29,TPFUN,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 5 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/22,ARBI10,10Gb
birdieq1,X2-8,,HZL-Q1-C3,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/22,ARBI10,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.0 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/18,PROD,10Gb
birdieq1,X2-8,,HZL-Q1-C3,EM2.1 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/18,PROD,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/14,GTDL,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.1 port 2,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/15,LOG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.0 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/14,GTDL,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 5 port 2,HZL-COLO-NONPTDNAGG3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/15,LOG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 5 port 1,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/13,ARBI10,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 6 port 2,HZL-COLO-NONPTDNAGG3-SWA5,hzl-b1_01 cp011 (HZL-Q1-C2),E1/14,ETG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,Slot 6 port 1,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/13,ARBI10,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM3.0 port 2,HZL-COLO-NONPTDNAGG3-SWA6,HZL-Q1-C3,E1/14,ETG,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.0 port 1,HZL-COLO-NONPTDNDH3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/11,PROD,10Gb
bogeyq1,X2-8,,HZL-Q1-C3,EM2.1 port 1,HZL-COLO-NONPTDNDH3-SWA2,hzl-b1_01 cp009 (HZL-Q1-C4),E1/11,PROD,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 4 port 2,HZL-COLO-NONPTDNAGG2-SWA1,HZL-Q1-B1,E1/13,FEED,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 6 port 2,HZL-COLO-NONPTDNAGG2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/13,FEED,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 2 port 1,HZL-COLO-NONPTDNAGG3-SWA3,HZL-Q1-C1,E1/05,ARBI40,40Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 4 port 1,HZL-COLO-NONPTDNDH2-SWA1,HZL-Q1-B1,E1/10,PRODHYPER,10Gb
bookq1,X5-8,1539NMC001,HZL-Q1-B1,Slot 6 port 1,HZL-COLO-NONPTDNDH2-SWA2,hzl-b1_01 cj008 (HZL-Q1-B3),E1/10,PRODHYPER,10Gb
boxerq1,X4-2L,,HZL-Q1-A1,Slot 3 port 1,HZL-COLO-NONPTDNDH1-SWA1,HZL-Q1-A1,E1/16,BUILD,10Gb
boxerq1,X4-2L,,HZL-Q1-A1,Slot 3 port 2,HZL-COLO-NONPTDNDH1-SWA2,hzl-b1_01 cf006 (HZL-Q1-A3),E1/16,BUILD,10Gb
celtserverq1,X4-2L,,HZL-Q1-D1,Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/09,PRODHYPER,10Gb
celtserverq1,X4-2L,,HZL-Q1-D1,Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/09,PRODHYPER,10Gb
celtstorageq1,X4-2L,,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 3 port 1,HZL-COLO-NONPTDNDH4-SWA1,HZL-Q1-D1,E1/10,PROD,10Gb
celtstorageq1,X4-2L,,hzl-b1_01 cp006 (HZL-Q1-D3),Slot 3 port 2,HZL-COLO-NONPTDNDH4-SWA2,hzl-b1_01 cp006 (HZL-Q1-D3),E1/10,PROD,10Gb
cleekq1,X1-8,,hzl-b1_01 cp009 (HZL-Q1-C4),EM3.0 port 1,HZL-COLO-NONPTDNAGG3-SWA1,hzl-b1_01 cp011 (HZL-Q1-C2),E1/30,GTDL,10Gb
