FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
asyncq1.a1.exch.q1.tdnqa.hzl.ilx.com,159.44.249.65/26,A1.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
asyncq1.a2.exch.q1.tdnqa.hzl.ilx.com,159.44.249.66/26,A2.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq1a,EXCH,EXCH,Business Site,
asyncq1.b1.exch.q1.tdnqa.hzl.ilx.com,159.44.253.65/26,B1.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
asyncq1.b2.exch.q1.tdnqa.hzl.ilx.com,159.44.253.66/26,B2.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq1a,EXCH,EXCH,Business Site,
asyncq1.feed.q1.tdnqa.hzl.ilx.com,10.179.10.1/25,FEED,10.179.10.0/25,10.179.10.127,HZL-COLO-MCE2-FEED-1,1800,dtpfepcq1a,FEED,FEED,Business Site,
asyncq1.fepc.q1.tdnqa.hzl.ilx.com,10.179.10.129/25,FEPC,10.179.10.128/25,10.179.10.255,HZL-COLO-MCE2-FEPC-1,1801,dtpfepcq1a,FEPC,FEPC,Business Site,
asyncq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.39/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
asyncq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.39/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
asyncq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.39/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,dtpfepcq1a,PROD,PRODHYPER,Business Site,YES
asyncq2.a1.exch.q1.tdnqa.hzl.ilx.com,159.44.249.89/26,A1.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq2a,EXCH,EXCH,Business Site,
asyncq2.a2.exch.q1.tdnqa.hzl.ilx.com,159.44.249.90/26,A2.EXCH,159.44.249.64/26,159.44.249.127,HZL-COLO-MCE2-EXCHANGEA-1,1501,dtpfepcq2a,EXCH,EXCH,Business Site,
asyncq2.b1.exch.q1.tdnqa.hzl.ilx.com,159.44.253.89/26,B1.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq2a,EXCH,EXCH,Business Site,
asyncq2.b2.exch.q1.tdnqa.hzl.ilx.com,159.44.253.90/26,B2.EXCH,159.44.253.64/26,159.44.253.127,HZL-COLO-MCE2-EXCHANGEB-1,1601,dtpfepcq2a,EXCH,EXCH,Business Site,
asyncq2.feed.q1.tdnqa.hzl.ilx.com,10.179.10.13/25,FEED,10.179.10.0/25,10.179.10.127,HZL-COLO-MCE2-FEED-1,1800,dtpfepcq2a,FEED,FEED,Business Site,
asyncq2.fepc.q1.tdnqa.hzl.ilx.com,10.179.10.141/25,FEPC,10.179.10.128/25,10.179.10.255,HZL-COLO-MCE2-FEPC-1,1801,dtpfepcq2a,FEPC,FEPC,Business Site,
asyncq2.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.51/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
asyncq2.main.q1.tdnqa.hzl.ilx.com,10.181.196.51/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
asyncq2.out.q1.tdnqa.hzl.ilx.com,10.53.30.51/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,dtpfepcq2a,PROD,PRODHYPER,Business Site,YES
aztecq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.26/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,aztecserverq1,PROD,PRODHYPER,Business Site,YES
aztecq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.74/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,aztecserverq1,PROD,PRODHYPER,Business Site,YES
aztecq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.74/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,aztecserverq1,PROD,PRODHYPER,Business Site,YES
aztecq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.74/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,aztecserverq1,PROD,PRODHYPER,Business Site,YES
baffyq1.a.arbi10.q1.tdnqa.hzl.ilx.com,10.179.12.195/27,A.ARBI10,10.179.12.192/27,10.179.12.223,HZL-COLO-MCE2-ARBI1-2,1702,itcfepcq1a,ARBI10,ARBI10,Business Silo,
baffyq1.a1.etg.q1.tdnqa.hzl.ilx.com,10.110.17.135/25,A1.ETG,10.110.17.128/25,10.110.17.255,PPE_ERB-Hash-LAN-A,817,itcfepcq1a,ETG,ETG,Business Site,
baffyq1.b1.etg.q1.tdnqa.hzl.ilx.com,10.110.18.135/25,B1.ETG,10.110.18.128/25,10.110.18.255,PPE_ERB-Hash-LAN-B,818,itcfepcq1a,ETG,ETG,Business Site,
