FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
airstreamq1.hyper.q1.tdnqa.hzl.ilx.com,10.53.29.7/24,HYPER,10.53.29.0/24,10.53.29.255,HZLS-93COLO-TDNH1-A-HYPER-1,2500,HYPER,EXTHYPER,Business Site,YES
airstreamq2.hyper.q1.tdnqa.hzl.ilx.com,10.53.29.8/24,HYPER,10.53.29.0/24,10.53.29.255,HZLS-93COLO-TDNH1-A-HYPER-1,2500,HYPER,EXTHYPER,Business Site,YES
atlasq1.a.livetkr.q1.tdnqa.hzl.ilx.com,10.179.12.76/27,A.LIVETKR,10.179.12.64/27,10.179.12.95,HZL-COLO-MCE2-LIVETKR1-1,1511,TKR,TKR,Business Site,
atlasq1.a.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.108/27,A.SITETKR,10.179.12.96/27,10.179.12.127,HZL-COLO-MCE2-UP4TKR1-2,1512,TKR,TKR,Business Site,
atlasq1.b.livetkr.q1.tdnqa.hzl.ilx.com,10.179.12.140/27,B.LIVETKR,10.179.12.128/27,10.179.12.159,HZL-COLO-MCE2-LIVETKR2-1,1611,TKR,TKR,Business Site,
atlasq1.b.sitetkr.q1.tdnqa.hzl.ilx.com,10.179.12.172/27,B.SITETKR,10.179.12.160/27,10.179.12.191,HZL-COLO-MCE2-UP4TKR2-2,1612,TKR,TKR,Business Site,
atlasq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.48/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,PROD,PROD,Business Site,YES
atlasq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.109/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,PROD,PROD,Business Site,YES
atlasq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.109/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,PROD,PROD,Business Site,YES
atlasq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.109/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,PROD,PROD,Business Site,YES
automgmtq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.8/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,PROD,CHASSIS,Business Site,YES
automgmtq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.8/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,PROD,CHASSIS,Business Site,YES
automgmtq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.8/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,PROD,CHASSIS,Business Site,YES
automgmtq2.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.9/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,PROD,CHASSIS,Business Site,YES
automgmtq2.main.q1.tdnqa.hzl.ilx.com,10.181.196.9/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,PROD,CHASSIS,Business Site,YES
automgmtq2.out.q1.tdnqa.hzl.ilx.com,10.53.30.9/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,PROD,CHASSIS,Business Site,YES
