System Name,Model Name,Serial Number,Cabinet Name,System Port Name,Switch Name,Switch Cabinet Name,Switch Port Name,Logical Net Group,Port Speed
airstreamz1,X5-2L,,HZL-Z1-A2,Slot 3 port 1,HZL-COLO-PRODTDNDH1-SWA1,hzl-b1_01 cf030 (HZL-Z1-A1),E1/05,EXTHYPER,10Gb
airstreamz1,X5-2L,,HZL-Z1-A2,Slot 3 port 2,HZL-COLO-PRODTDNDH1-SWA2,hzl-b1_01 cf028 (HZL-Z1-A3),E1/05,EXTHYPER,10Gb
atlasz1,X5-8,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 10 Port 2,HZL-COLO-PRODTDNAGG4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/05,TKR,10Gb
atlasz1,X5-8,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 12 Port 1,HZL-COLO-PRODTDNAGG4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/05,TKR,10Gb
atlasz1,X5-8,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 12 Port 2,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/05,PROD,10Gb
atlasz1,X5-8,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 10 Port 1,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/05,PROD,10Gb
aztecserverz1,X3-2L,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 4 Port 1,HZL-COLO-PRODTDNDH4-SWA1,hzl-b1_01 cj026 (HZL-Z1-D1),E1/06,PRODHYPER,10Gb
aztecserverz1,X3-2L,,hzl-b1_01 cj028 (HZL-Z1-D3),Slot 4 Port 2,HZL-COLO-PRODTDNDH4-SWA2,hzl-b1_01 cj028 (HZL-Z1-D3),E1/06,PRODHYPER,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 port 2,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/05,GTDL,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM3.0 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/06,LOG,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.1 port 1,HZL-COLO-PRODTDNAGG3-SWA1,hzl-b1_01 cf024 (HZL-Z1-C2),E1/07,TPFUN,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM2.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/05,GTDL,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM3.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/06,LOG,10Gb
birdiez1,X2-8,,hzl-b1_01 cf024 (HZL-Z1-C2),EM1.0 port 2,HZL-COLO-PRODTDNAGG3-SWA2,hzl-b1_01 cf022 (HZL-Z1-C4),E1/07,TPFUN,10Gb
