FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
airstreamz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.1/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,EXTHYPER,Business Site,YES
atlasz1.a.livetkr.z1.tdn.hzl.ilx.com,10.179.4.65/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
atlasz1.a.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.97/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,TKR,TKR,Business Site,
atlasz1.b.livetkr.z1.tdn.hzl.ilx.com,10.179.4.129/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,TKR,TKR,Business Site,
atlasz1.b.sitetkr.z1.tdn.hzl.ilx.com,10.179.4.161/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,TKR,TKR,Business Site,
atlasz1.filer.z1.tdn.hzl.ilx.com,10.181.194.1/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
atlasz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.1/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
atlasz1.main.z1.tdn.hzl.ilx.com,10.181.192.1/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
atlasz1.out.z1.tdn.hzl.ilx.com,10.53.22.1/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
automgmtz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.3/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
automgmtz1.main.z1.tdn.hzl.ilx.com,10.181.192.3/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
automgmtz1.out.z1.tdn.hzl.ilx.com,10.53.22.3/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,CHASSIS,Business Site,YES
aztecserverz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.3/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
birdiez1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.193/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
birdiez1.filer.z1.tdn.hzl.ilx.com,10.181.194.3/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
birdiez1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.1/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
birdiez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.5/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
birdiez1.log.z1.tdn.hzl.ilx.com,10.179.3.65/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
birdiez1.main.z1.tdn.hzl.ilx.com,10.181.192.5/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
birdiez1.out.z1.tdn.hzl.ilx.com,10.53.22.5/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
birdiez1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.193/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
bogeyz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.194/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
bogeyz1.a1.etg.z1.tdn.hzl.ilx.com,10.110.15.129/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,ETG,ETG,Business Site,
bogeyz1.b1.etg.z1.tdn.hzl.ilx.com,10.110.16.129/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,ETG,ETG,Business Site,
bogeyz1.filer.z1.tdn.hzl.ilx.com,10.181.194.5/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
bogeyz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.3/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
bogeyz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.7/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
bogeyz1.log.z1.tdn.hzl.ilx.com,10.179.3.66/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
bogeyz1.main.z1.tdn.hzl.ilx.com,10.181.192.7/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
bogeyz1.out.z1.tdn.hzl.ilx.com,10.53.22.7/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
bookz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.5/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
boxerz1.ext.z1.tdn.hzl.ilx.com,10.53.24.1/24,EXT,10.53.24.0/24,10.53.24.255,HZLP-93COLO-MGTM1-A-JUMBO-1,2230,EXT,BUILD,Business Site,YES
boxerz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.9/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,BUILD,Business Site,YES
boxerz1.main.z1.tdn.hzl.ilx.com,10.181.192.9/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,BUILD,Business Site,YES
boxerz1.out.z1.tdn.hzl.ilx.com,10.53.22.9/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,BUILD,Business Site,YES
boxerz1.web.z1.tdn.hzl.ilx.com,10.53.20.1/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,WEB,BUILD,Business Site,YES
