FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
airstreamz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.2/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,EXTHYPER,Business Site,YES
atlasz2.a.livetkr.z2.tdn.hzl.ilx.com,10.179.4.66/27,A.LIVETKR,10.179.4.64/27,10.179.4.95,HZL-COLO-MCE1-LIVETKR1-1,1511,TKR,TKR,Business Site,
atlasz2.a.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.98/27,A.SITETKR,10.179.4.96/27,10.179.4.127,HZL-COLO-MCE1-UP4TKR1-2,1512,TKR,TKR,Business Site,
atlasz2.b.livetkr.z2.tdn.hzl.ilx.com,10.179.4.130/27,B.LIVETKR,10.179.4.128/27,10.179.4.159,HZL-COLO-MCE1-LIVETKR2-1,1611,TKR,TKR,Business Site,
atlasz2.b.sitetkr.z2.tdn.hzl.ilx.com,10.179.4.162/27,B.SITETKR,10.179.4.160/27,10.179.4.191,HZL-COLO-MCE1-UP4TKR2-2,1612,TKR,TKR,Business Site,
atlasz2.filer.z2.tdn.hzl.ilx.com,10.181.194.2/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
atlasz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.2/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
atlasz2.main.z2.tdn.hzl.ilx.com,10.181.192.2/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
atlasz2.out.z2.tdn.hzl.ilx.com,10.53.22.2/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
automgmtz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.4/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
automgmtz2.main.z2.tdn.hzl.ilx.com,10.181.192.4/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,CHASSIS,Business Site,YES
