FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
aztecz2.filer.z2.tdn.hzl.ilx.com,10.181.194.33/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,aztecserverz2,PROD,PRODHYPER,Business Site,YES
aztecz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.60/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,aztecserverz2,PROD,PRODHYPER,Business Site,YES
aztecz2.main.z2.tdn.hzl.ilx.com,10.181.192.60/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,aztecserverz2,PROD,PRODHYPER,Business Site,YES
aztecz2.out.z2.tdn.hzl.ilx.com,10.53.22.60/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,aztecserverz2,PROD,PRODHYPER,Business Site,YES
baffyz2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.231/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,itcfepcz2a,ARBI10,ARBI10,Business Silo,
baffyz2.a1.etg.z2.tdn.hzl.ilx.com,10.110.15.134/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz2a,ETG,ETG,Business Site,
baffyz2.b1.etg.z2.tdn.hzl.ilx.com,10.110.16.134/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz2a,ETG,ETG,Business Site,
baffyz2.filer.z2.tdn.hzl.ilx.com,10.181.194.35/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
baffyz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.20/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz2a,GTDL,GTDL,Business Site,
baffyz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.62/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
baffyz2.log.z2.tdn.hzl.ilx.com,10.179.3.138/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,itcfepcz2a,LOG,LOG,Business Silo,
baffyz2.main.z2.tdn.hzl.ilx.com,10.181.192.62/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
baffyz2.out.z2.tdn.hzl.ilx.com,10.53.22.62/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
brassiez2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.232/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,itcfepcz2a,ARBI10,ARBI10,Business Silo,
brassiez2.a1.etg.z2.tdn.hzl.ilx.com,10.110.15.136/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz2a,ETG,ETG,Business Site,
brassiez2.b1.etg.z2.tdn.hzl.ilx.com,10.110.16.136/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz2a,ETG,ETG,Business Site,
brassiez2.filer.z2.tdn.hzl.ilx.com,10.181.194.37/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
brassiez2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.22/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz2a,GTDL,GTDL,Business Site,
brassiez2.idcm.z2.tdn.hzl.ilx.com,10.179.0.65/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
brassiez2.log.z2.tdn.hzl.ilx.com,10.179.3.139/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,itcfepcz2a,LOG,LOG,Business Silo,
brassiez2.main.z2.tdn.hzl.ilx.com,10.181.192.65/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz2a,PROD,PRODHYPER,Business Site,YES
