NAME   PROPERTY       VALUE                 SOURCE
rpool  allocated      8.77G                 -
rpool  altroot        -                     default
rpool  autoexpand     off                   default
rpool  autoreplace    off                   default
rpool  bootfs         rpool/ROOT/test1      local
rpool  cachefile      -                     default
rpool  capacity       56%                   -
rpool  dedupditto     0                     default
rpool  dedupratio     1.00x                 -
rpool  delegation     on                    default
rpool  failmode       wait                  default
rpool  free           6.85G                 -
rpool  guid           13691107088547454479  -
rpool  health         ONLINE                -
rpool  listshares     off                   default
rpool  listsnapshots  off                   default
rpool  readonly       off                   -
rpool  size           15.6G                 -
rpool  version        37                    default
